CF,Non-CF,Environmental
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,98.08,
99.79,98.08,
99.79,99.79,
99.79,97.86,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,100,
99.79,99.57,
99.79,95.09,
99.79,97.86,
99.79,99.79,
99.79,99.79,
99.79,98.08,
99.79,99.79,
99.79,99.79,
99.79,97.86,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.15,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,94.62,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,91.03,
99.79,99.57,
99.79,94.62,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.57,
99.79,98.29,
99.79,99.79,
99.79,99.57,
99.79,91.03,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,97.86,
99.79,94.62,
99.79,99.79,
99.79,99.57,
99.79,99.36,
99.79,97.86,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,94.62,
99.79,97.86,
99.79,94.62,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.15,
99.79,99.57,
99.79,95.94,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.36,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.15,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.15,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.15,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,94.62,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,94.62,
99.79,99.57,
99.79,97.86,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,98.08,
99.79,99.79,
97.86,99.79,
99.79,99.79,
99.79,99.79,
99.15,99.79,
99.15,99.57,
99.57,99.57,
99.57,99.57,
99.79,99.57,
99.79,99.79,
99.57,98.08,
99.57,99.79,
99.57,99.57,
99.57,99.79,
99.57,99.79,
99.57,98.08,
99.57,99.79,
99.57,99.15,
99.57,99.57,
99.57,98.08,
99.57,99.79,
99.57,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.15,
99.79,99.57,
99.79,99.79,
99.79,97.86,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,98.08,
99.79,98.08,
99.57,98.08,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.57,
99.79,99.57,
99.79,99.57,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.79,99.79,
99.79,99.79,
99.79,99.57,
99.57,99.57,
99.57,99.57,
99.79,99.57,
99.79,99.79,
99.57,99.15,
99.79,99.79,
99.79,99.15,
99.79,99.79,
99.57,99.79,
99.79,99.79,
99.57,99.36,
99.57,99.79,
99.79,99.79,
99.79,99.15,
,99.15,
,99.79,
,99.79,
,99.79,
,99.57,
,99.57,
,99.57,
,97.65,
,97.65,
,99.79,
,99.15,
,99.57,
,99.79,
,99.79,
,99.79,
,99.79,
,99.57,
,99.79,
,99.57,
,99.79,
,99.79,
,99.57,
,99.79,
,99.79,
,99.15,
,99.57,
,99.79,
,99.57,
,99.79,
,94.62,
,99.79,
,99.57,
,99.79,
,99.15,
,99.79,
,100,
,91.03,
,99.79,
,99.57,
,99.57,
,100,
,99.79,
,99.15,
,99.79,
,99.15,
,99.79,
,99.79,
,99.79,
,94.62,
,99.57,
,99.79,
,99.57,
,99.79,
,94.62,
,99.15,
,94.62,
,99.79,
,99.15,
,99.79,
,99.57,
,99.57,
,99.79,
,97.86,
,99.79,
,98.08,
,99.79,
,99.79,
,99.57,
,99.79,
,99.79,
,99.57,
,99.79,
,99.79,
,99.79,
,99.79,
,99.57,
,99.57,
,94.62,
,99.79,
,94.41,
,99.79,
,99.79,
,99.57,
,99.57,
,94.62,
,99.57,
,99.57,
,99.57,
,100,
,99.79,
,99.57,
,99.57,
,99.57,
,99.79,
,100,
,99.57,
,98.08,
,99.57,
,98.08,
,99.79,
,99.79,
,99.57,
,99.79,
,99.79,
,98.08,
,98.08,
,98.08,
,99.79,
,94.62,
,99.79,
,99.79,
,94.62,
,99.79,
,99.79,
,99.79,
,99.79,
,99.79,
,99.57,
,99.79,
,99.57,
,99.79,
,99.79,
,99.79,
,99.79,
,98.08,
,99.79,
,100,
,99.15,
,99.79,
,99.79,
,99.79,
,99.57,
,99.79,
,99.57,
