Combined categories,p_5mM.p_0mM___log2FoldChange
"Type II, III, V, VI, Sec secretion systems",0.544763539
"Type II, III, V, VI, Sec secretion systems",0.433636176
"Type II, III, V, VI, Sec secretion systems",0.456237016
"Type II, III, V, VI, Sec secretion systems",-0.093741891
"Type II, III, V, VI, Sec secretion systems",0.260882397
"Type II, III, V, VI, Sec secretion systems",0.231937482
"Type II, III, V, VI, Sec secretion systems",-0.281747982
"Type II, III, V, VI, Sec secretion systems",-0.621255955
"Type II, III, V, VI, Sec secretion systems",0.831544233
"Type II, III, V, VI, Sec secretion systems",0.113430121
"Type II, III, V, VI, Sec secretion systems",0.46349993
"Type II, III, V, VI, Sec secretion systems",-0.197693076
"Type II, III, V, VI, Sec secretion systems",-0.892378944
"Type II, III, V, VI, Sec secretion systems",-0.31849285
"Type II, III, V, VI, Sec secretion systems",0.456729862
"Type II, III, V, VI, Sec secretion systems",0.282800813
"Type II, III, V, VI, Sec secretion systems",-0.751945147
"Type II, III, V, VI, Sec secretion systems",0.3496247
"Type II, III, V, VI, Sec secretion systems",-0.23602692
"Type II, III, V, VI, Sec secretion systems",0.925701586
"Type II, III, V, VI, Sec secretion systems",0.862964682
"Type II, III, V, VI, Sec secretion systems",0.005407285
"Type II, III, V, VI, Sec secretion systems",0.408538965
"Type II, III, V, VI, Sec secretion systems",-0.6256777
"Type II, III, V, VI, Sec secretion systems",-1.846501714
"Type II, III, V, VI, Sec secretion systems",0.434283243
"Type II, III, V, VI, Sec secretion systems",0.021900612
"Type II, III, V, VI, Sec secretion systems",-1.565588356
"Type II, III, V, VI, Sec secretion systems",1.206464176
"Type II, III, V, VI, Sec secretion systems",1.689172254
"Type II, III, V, VI, Sec secretion systems",2.239625368
"Type II, III, V, VI, Sec secretion systems",2.573881575
"Type II, III, V, VI, Sec secretion systems",4.060278692
"Type II, III, V, VI, Sec secretion systems",1.988600924
"Type II, III, V, VI, Sec secretion systems",3.120007845
"Type II, III, V, VI, Sec secretion systems",1.107624335
"Type II, III, V, VI, Sec secretion systems",0.996548009
"Type II, III, V, VI, Sec secretion systems",-1.078548
"Type II, III, V, VI, Sec secretion systems",-1.184587989
"Type II, III, V, VI, Sec secretion systems",-1.180714245
"Type II, III, V, VI, Sec secretion systems",-0.028355868
"Type II, III, V, VI, Sec secretion systems",0.524634629
"Type II, III, V, VI, Sec secretion systems",-0.5042393
"Type II, III, V, VI, Sec secretion systems",0.7322539
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.242590297
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,4.072618612
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.389684173
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,3.512087168
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,3.343934529
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.812285222
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,5.115003379
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,5.246558361
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.559122811
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.24096976
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.261018595
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.113293281
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.3241578
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.92579
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-4.513591308
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.1000104
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.093422636
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.884182458
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.4988987
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.174533988
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.076673863
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2931842
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.088151495
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.763166
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.141988868
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.011023796
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.394774379
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.4728551
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-6.052023464
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.2631537
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.84275044
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.663171396
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.207401452
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.4127658
