Combined categories,p_5mM.p_0mM___log2FoldChange
"Resistance (antibiotic, heavy metals)",-1.023872734
"Resistance (antibiotic, heavy metals)",-1.165468587
"Resistance (antibiotic, heavy metals)",-1.32864948
"Resistance (antibiotic, heavy metals)",-1.068116784
"Resistance (antibiotic, heavy metals)",-2.123316265
"Resistance (antibiotic, heavy metals)",-3.757785547
"Resistance (antibiotic, heavy metals)",-4.61084798
"Resistance (antibiotic, heavy metals)",-5.769296045
"Resistance (antibiotic, heavy metals)",-2.002437
"Resistance (antibiotic, heavy metals)",-0.9850941
"Resistance (antibiotic, heavy metals)",1.304598615
"DNA replication, recombination, modification and repair",1.461299
"Translation, protein folding and secretion",1.262228
"Translation, protein folding and secretion",1.100005
"Translation, protein folding and secretion",2.287297
"Translation, protein folding and secretion",1.223379243
"Translation, protein folding and secretion",2.113790586
"Translation, protein folding and secretion",1.240189
"Translation, protein folding and secretion",1.074493
"Translation, protein folding and secretion",1.239468724
"Translation, protein folding and secretion",1.364314
"Translation, protein folding and secretion",1.761979
"Translation, protein folding and secretion",2.497021
"Translation, protein folding and secretion",1.350427
"Translation, protein folding and secretion",2.517226
"Translation, protein folding and secretion",2.323531
"Translation, protein folding and secretion",2.863624
"Translation, protein folding and secretion",1.934034
"Translation, protein folding and secretion",1.111761
"Translation, protein folding and secretion",1.086947
"Translation, protein folding and secretion",1.902578
"Translation, protein folding and secretion",1.620193
"Translation, protein folding and secretion",2.47062
"Translation, protein folding and secretion",1.091371
"Translation, protein folding and secretion",1.082361
"Translation, protein folding and secretion",2.877196711
"Translation, protein folding and secretion",2.551632
"Translation, protein folding and secretion",1.545397
"Translation, protein folding and secretion",3.228944
"Translation, protein folding and secretion",1.826658
"Translation, protein folding and secretion",2.187506
"Translation, protein folding and secretion",1.914734
"Translation, protein folding and secretion",2.033026
"Translation, protein folding and secretion",1.59656
"Translation, protein folding and secretion",2.13289
"Translation, protein folding and secretion",1.015033
"Translation, protein folding and secretion",-2.276595015
"Translation, protein folding and secretion",0.4689941
"Translation, protein folding and secretion",-0.3975063
"Translation, protein folding and secretion",-0.080408133
"Translation, protein folding and secretion",-1.227252254
"Translation, protein folding and secretion",0.144272206
"Translation, protein folding and secretion",0.030745654
"Translation, protein folding and secretion",0.576441314
"Translation, protein folding and secretion",-0.1478628
"Translation, protein folding and secretion",-0.2986489
"Translation, protein folding and secretion",-0.4797838
"Translation, protein folding and secretion",-1.09413537
"Translation, protein folding and secretion",-2.592155511
"Translation, protein folding and secretion",0.046095769
"Translation, protein folding and secretion",-0.210230222
"Translation, protein folding and secretion",0.9927345
"Translation, protein folding and secretion",0.4915104
"Translation, protein folding and secretion",-0.004058194
"Translation, protein folding and secretion",-0.74809273
"Translation, protein folding and secretion",-0.183557081
"Translation, protein folding and secretion",-0.3008327
"Translation, protein folding and secretion",-0.4231335
"Translation, protein folding and secretion",-0.1544942
"Translation, protein folding and secretion",-0.7750112
"Translation, protein folding and secretion",0.055255523
"Translation, protein folding and secretion",0.3468128
"Translation, protein folding and secretion",-0.6069079
"Translation, protein folding and secretion",0.5004993
"Translation, protein folding and secretion",0.05187221
"Translation, protein folding and secretion",-0.1754067
"Translation, protein folding and secretion",0.9902207
"Translation, protein folding and secretion",0.01208947
"Translation, protein folding and secretion",-0.111492868
"Translation, protein folding and secretion",-0.02169747
"Translation, protein folding and secretion",0.7770373
"Translation, protein folding and secretion",-0.9971479
"Translation, protein folding and secretion",-0.8754106
"Translation, protein folding and secretion",0.7113813
"Translation, protein folding and secretion",0.6621441
"Translation, protein folding and secretion",-0.04122706
"Translation, protein folding and secretion",0.8005354
"Translation, protein folding and secretion",0.8750852
"Translation, protein folding and secretion",-0.797398
"Translation, protein folding and secretion",0.9801897
"Translation, protein folding and secretion",0.06397774
"Translation, protein folding and secretion",-0.1600728
"Translation, protein folding and secretion",-0.1524938
"Translation, protein folding and secretion",-0.065825493
"Translation, protein folding and secretion",-1.944922
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.122253955
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-3.418382501
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-2.648332141
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.469457495
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.732225912
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-0.2502227
"Resistance (antibiotic, heavy metals)",1.101887
"Resistance (antibiotic, heavy metals)",2.673741127
"Resistance (antibiotic, heavy metals)",1.663373068
"Resistance (antibiotic, heavy metals)",1.142411331
"Resistance (antibiotic, heavy metals)",1.956226933
"Resistance (antibiotic, heavy metals)",-1.997075
"Resistance (antibiotic, heavy metals)",-1.148459597
"Resistance (antibiotic, heavy metals)",0.351043653
"Resistance (antibiotic, heavy metals)",-0.930648778
"Resistance (antibiotic, heavy metals)",0.7298315
"Resistance (antibiotic, heavy metals)",-1.274502571
"Resistance (antibiotic, heavy metals)",-0.61875694
"Resistance (antibiotic, heavy metals)",-1.226420544
"Resistance (antibiotic, heavy metals)",-1.010576
"DNA replication, recombination, modification and repair",1.111908
"DNA replication, recombination, modification and repair",2.020374523
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.7048023
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.3949224
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,0.386793416
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.841423
Quorum sensing/sensors/signaling,-0.291067993
Quorum sensing/sensors/signaling,0.6576554
Quorum sensing/sensors/signaling,0.8199792
Quorum sensing/sensors/signaling,0.1603483
Quorum sensing/sensors/signaling,0.5540541
Quorum sensing/sensors/signaling,-3.336658967
Quorum sensing/sensors/signaling,-0.85464523
Quorum sensing/sensors/signaling,-1.834726
Quorum sensing/sensors/signaling,-1.277707
Quorum sensing/sensors/signaling,-2.566373343
Quorum sensing/sensors/signaling,-2.440826
Quorum sensing/sensors/signaling,-0.66644761
Quorum sensing/sensors/signaling,-1.411283261
Quorum sensing/sensors/signaling,-1.36153469
Quorum sensing/sensors/signaling,0.24594058
Quorum sensing/sensors/signaling,-0.218436934
Quorum sensing/sensors/signaling,-1.4375964
Quorum sensing/sensors/signaling,-1.312719832
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.007735134
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.542909582
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",5.770310137
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.43943758
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.401866915
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.431571571
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.68884321
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.535687188
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.34110641
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.141391611
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.32092611
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.784818634
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.387490424
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.519948984
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.082267385
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.046705396
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",2.035298046
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.419640071
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.257682999
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.231874041
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.01089198
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.415526018
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.009027764
"Translation, protein folding and secretion",-1.241309
"Translation, protein folding and secretion",0.7122275
"Translation, protein folding and secretion",1.003094636
"Translation, protein folding and secretion",5.745604075
"Translation, protein folding and secretion",0.262030884
"Translation, protein folding and secretion",-1.009214392
"Translation, protein folding and secretion",-0.5760924
"Translation, protein folding and secretion",-1.240416
"Translation, protein folding and secretion",-1.715239
"Translation, protein folding and secretion",-1.13630828
"Translation, protein folding and secretion",-1.358231
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.448681
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.758078958
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",3.777342
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",1.809386
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.180971518
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.50533861
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-0.027066773
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",0.1842206
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-0.4507361
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.669677283
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.306616752
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.583189435
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.045085493
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.061246605
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.346452
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",0.3703967
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.441177423
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.627578995
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.190836
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.304962265
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.858757667
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-2.615214795
Probable transcriptional regulator,0.346866763
Probable transcriptional regulator,0.926375757
Probable transcriptional regulator,0.450184475
Probable transcriptional regulator,-0.220668934
Probable transcriptional regulator,-0.463287746
Probable transcriptional regulator,-0.138294217
Probable transcriptional regulator,0.02309054
Probable transcriptional regulator,0.409818154
Probable transcriptional regulator,0.255886397
Probable transcriptional regulator,0.145980431
Probable transcriptional regulator,0.291579168
Probable transcriptional regulator,0.292165343
Probable transcriptional regulator,0.302187187
Probable transcriptional regulator,0.424113281
Probable transcriptional regulator,0.298489317
Probable transcriptional regulator,-0.297639215
Probable transcriptional regulator,0.269773807
Probable transcriptional regulator,-0.130292053
Probable transcriptional regulator,-0.634654354
Probable transcriptional regulator,0.493372221
Probable transcriptional regulator,0.57702653
Probable transcriptional regulator,0.057018348
Probable transcriptional regulator,0.087358785
Probable transcriptional regulator,0.592093948
Probable transcriptional regulator,-0.363578056
Probable transcriptional regulator,0.931605849
Probable transcriptional regulator,0.520766515
Probable transcriptional regulator,0.697559977
Probable transcriptional regulator,-0.379475166
Probable transcriptional regulator,-0.168733609
Probable transcriptional regulator,-0.156057186
Probable transcriptional regulator,0.586988631
Probable transcriptional regulator,0.375648343
Probable transcriptional regulator,-0.437022635
Probable transcriptional regulator,-0.704716273
Probable transcriptional regulator,0.286094503
Probable transcriptional regulator,-0.027762727
Probable transcriptional regulator,0.917976156
Probable transcriptional regulator,0.293271239
Probable transcriptional regulator,0.189662081
Probable transcriptional regulator,0.018921488
Probable transcriptional regulator,-0.099332386
Probable transcriptional regulator,0.405705026
Probable transcriptional regulator,0.432856823
Probable transcriptional regulator,0.117887726
Probable transcriptional regulator,0.913917251
Probable transcriptional regulator,0.244233012
Probable transcriptional regulator,-0.147367078
Probable transcriptional regulator,-0.44444666
Probable transcriptional regulator,0.45309836
Probable transcriptional regulator,-0.132523021
Probable transcriptional regulator,-0.087039228
Probable transcriptional regulator,-0.070829768
Probable transcriptional regulator,0.590334762
Probable transcriptional regulator,0.557733515
Probable transcriptional regulator,-0.102483722
Probable transcriptional regulator,0.109254307
Probable transcriptional regulator,0.701330999
Probable transcriptional regulator,-0.444925622
Probable transcriptional regulator,0.192060894
Probable transcriptional regulator,0.019799975
Probable transcriptional regulator,-0.155830907
Probable transcriptional regulator,0.507200153
Probable transcriptional regulator,0.203090267
Probable transcriptional regulator,0.10152925
Probable transcriptional regulator,-0.486590389
Probable transcriptional regulator,0.754433091
Probable transcriptional regulator,0.403120902
Probable transcriptional regulator,-0.42317911
Probable transcriptional regulator,0.641682948
Probable transcriptional regulator,0.293623112
Probable transcriptional regulator,0.241471832
Probable transcriptional regulator,0.446175726
Probable transcriptional regulator,0.199826526
Probable transcriptional regulator,0.078218195
Probable transcriptional regulator,-0.694051733
Probable transcriptional regulator,-0.74051692
Probable transcriptional regulator,-0.226713336
Probable transcriptional regulator,0.249144925
Probable transcriptional regulator,-0.908909266
Probable transcriptional regulator,0.560398431
Probable transcriptional regulator,0.80274321
Probable transcriptional regulator,-0.49928556
Probable transcriptional regulator,0.02947496
Probable transcriptional regulator,0.285500285
Probable transcriptional regulator,0.65147617
Probable transcriptional regulator,-0.391451057
Probable transcriptional regulator,0.317070178
Probable transcriptional regulator,0.551834587
Probable transcriptional regulator,-0.335518754
Probable transcriptional regulator,0.128697237
Probable transcriptional regulator,0.219167873
Probable transcriptional regulator,0.40792563
Probable transcriptional regulator,0.610041672
Probable transcriptional regulator,0.015304249
Probable transcriptional regulator,-0.848021725
Probable transcriptional regulator,0.115168505
Probable transcriptional regulator,-0.042680206
Probable transcriptional regulator,-0.516124999
Probable transcriptional regulator,0.71209168
Probable transcriptional regulator,0.098639115
Probable transcriptional regulator,0.335754455
Probable transcriptional regulator,-0.475818878
Probable transcriptional regulator,0.305218986
Probable transcriptional regulator,-0.242778777
Probable transcriptional regulator,-0.443415344
Probable transcriptional regulator,-0.215992555
Probable transcriptional regulator,0.551244725
Probable transcriptional regulator,-0.800573747
Probable transcriptional regulator,0.181035961
Probable transcriptional regulator,-0.00985351
Probable transcriptional regulator,-0.048278154
Probable transcriptional regulator,0.370991545
Probable transcriptional regulator,-0.577266621
Probable transcriptional regulator,0.185995626
Probable transcriptional regulator,0.693271528
Probable transcriptional regulator,0.819227307
Probable transcriptional regulator,0.675563068
Probable transcriptional regulator,0.406166035
Probable transcriptional regulator,-0.401114858
Probable transcriptional regulator,-0.239051833
Probable transcriptional regulator,-0.078659411
Probable transcriptional regulator,0.005585958
Probable transcriptional regulator,0.246942446
Probable transcriptional regulator,-0.945683966
Probable transcriptional regulator,0.660332894
Probable transcriptional regulator,0.913925239
Probable transcriptional regulator,-0.924993991
Probable transcriptional regulator,-0.199549449
Probable transcriptional regulator,0.806941755
Probable transcriptional regulator,0.125494285
Probable transcriptional regulator,0.289811519
Probable transcriptional regulator,-0.765512133
Probable transcriptional regulator,0.11969125
Probable transcriptional regulator,-0.054122782
Probable transcriptional regulator,0.263172786
Probable transcriptional regulator,0.879600785
Probable transcriptional regulator,0.493271772
Probable transcriptional regulator,-0.310221781
Probable transcriptional regulator,0.39115123
Probable transcriptional regulator,0.277074072
Probable transcriptional regulator,-0.107547343
Probable transcriptional regulator,-0.161228007
Probable transcriptional regulator,0.449792063
Probable transcriptional regulator,-0.902687971
Probable transcriptional regulator,0.401460125
Probable transcriptional regulator,0.735046502
Probable transcriptional regulator,-0.118221702
Probable transcriptional regulator,0.4753839
Probable transcriptional regulator,-0.2320471
Probable transcriptional regulator,0.7992434
Probable transcriptional regulator,0.7900684
Probable transcriptional regulator,0.8680085
Probable transcriptional regulator,0.07668957
Probable transcriptional regulator,-0.2648507
Probable transcriptional regulator,0.7998027
Probable transcriptional regulator,-0.7805742
Probable transcriptional regulator,-0.04737356
Probable transcriptional regulator,0.284076
Probable transcriptional regulator,-0.3724356
Probable transcriptional regulator,0.9301893
Probable transcriptional regulator,0.5596649
Probable transcriptional regulator,-0.002599653
Probable transcriptional regulator,0.05829734
Probable transcriptional regulator,0.1910698
Probable transcriptional regulator,-0.78165
Probable transcriptional regulator,-0.06979924
Probable transcriptional regulator,-0.003636869
Probable transcriptional regulator,0.8073475
Probable transcriptional regulator,0.6723048
Probable transcriptional regulator,-0.8268402
Probable transcriptional regulator,0.4220747
Probable transcriptional regulator,0.2813637
Probable transcriptional regulator,0.1882753
Probable transcriptional regulator,-0.2483895
Probable transcriptional regulator,0.6012246
Probable transcriptional regulator,0.2357911
Probable transcriptional regulator,0.777786
Probable transcriptional regulator,0.5359419
Probable transcriptional regulator,0.6083903
Probable transcriptional regulator,-0.1299486
Probable transcriptional regulator,-0.1916075
Probable transcriptional regulator,0.2125586
Probable transcriptional regulator,0.04892161
Probable transcriptional regulator,0.4821477
Probable transcriptional regulator,0.6150197
Probable transcriptional regulator,-0.2875445
Probable transcriptional regulator,0.3002598
Probable transcriptional regulator,-0.5878504
Probable transcriptional regulator,-1.374057614
Iron uptake,0.635859613
Iron uptake,0.491966467
Iron uptake,0.416226731
Iron uptake,0.297884235
Iron uptake,-0.3947444
Sulfur metabolism,-0.94936101
Sulfur metabolism,0.350441888
Sulfur metabolism,-0.920410494
Sulfur metabolism,0.029380248
Sulfur metabolism,0.160822523
"Biosynthesis of cofactors, prosthetic groups and carriers",-0.5612547
"Biosynthesis of cofactors, prosthetic groups and carriers",0.3709273
"Biosynthesis of cofactors, prosthetic groups and carriers",0.997187777
"Biosynthesis of cofactors, prosthetic groups and carriers",0.219552988
"Biosynthesis of cofactors, prosthetic groups and carriers",0.8727364
"Biosynthesis of cofactors, prosthetic groups and carriers",-0.455335
"Biosynthesis of cofactors, prosthetic groups and carriers",0.05290226
"Biosynthesis of cofactors, prosthetic groups and carriers",0.291687
"Biosynthesis of cofactors, prosthetic groups and carriers",0.179497517
"Biosynthesis of cofactors, prosthetic groups and carriers",-0.1130089
Phosphate and phosphonate metabolism and transport,-2.737485222
Phosphate and phosphonate metabolism and transport,-1.026270043
Phosphate and phosphonate metabolism and transport,3.616755702
Polyamine metabolism and transport,1.543000069
Polyamine metabolism and transport,1.401980372
Polyamine metabolism and transport,1.777402354
Polyamine metabolism and transport,1.819924957
Polyamine metabolism and transport,2.281670947
Polyamine metabolism and transport,1.874219319
Polyamine metabolism and transport,1.035671108
Polyamine metabolism and transport,-2.371923
Polyamine metabolism and transport,-1.080016075
Polyamine metabolism and transport,-2.415849108
Polyamine metabolism and transport,0.211194234
Polyamine metabolism and transport,0.535679357
Polyamine metabolism and transport,-1.003011893
Polyamine metabolism and transport,-0.723764692
Polyamine metabolism and transport,-1.835632
Polyamine metabolism and transport,-4.528881
Polyamine metabolism and transport,-4.380957
Polyamine metabolism and transport,-0.748076165
Polyamine metabolism and transport,-0.381383852
Polyamine metabolism and transport,0.4479628
Polyamine metabolism and transport,-0.07022448
Polyamine metabolism and transport,0.5821645
Polyamine metabolism and transport,-1.608507788
Polyamine metabolism and transport,-1.366506347
Polyamine metabolism and transport,-1.576894728
Polyamine metabolism and transport,-0.793628647
Polyamine metabolism and transport,-0.657656495
Polyamine metabolism and transport,0.4982514
Polyamine metabolism and transport,-1.815113179
Polyamine metabolism and transport,-0.517264891
Polyamine metabolism and transport,-1.286827462
Polyamine metabolism and transport,-1.731698
Polyamine metabolism and transport,-0.832350458
Polyamine metabolism and transport,-0.399048243
Polyamine metabolism and transport,-1.92718
Polyamine metabolism and transport,1.204137989
Polyamine metabolism and transport,2.606070701
Polyamine metabolism and transport,4.139238
Polyamine metabolism and transport,2.769237
Polyamine metabolism and transport,1.007122
Polyamine metabolism and transport,-0.3352008
Polyamine metabolism and transport,-0.8939819
Phosphate and phosphonate metabolism and transport,3.735426537
Phosphate and phosphonate metabolism and transport,2.205345082
Phosphate and phosphonate metabolism and transport,2.294290923
Phosphate and phosphonate metabolism and transport,4.53066148
Phosphate and phosphonate metabolism and transport,1.517116983
Phosphate and phosphonate metabolism and transport,2.323339909
Phosphate and phosphonate metabolism and transport,2.702971867
Phosphate and phosphonate metabolism and transport,3.258775475
Phosphate and phosphonate metabolism and transport,3.068304449
Phosphate and phosphonate metabolism and transport,4.018384564
Phosphate and phosphonate metabolism and transport,5.040460759
Phosphate and phosphonate metabolism and transport,-1.068270407
Phosphate and phosphonate metabolism and transport,0.272757009
Phosphate and phosphonate metabolism and transport,-0.107180175
Fatty acid and lipid metabolism and transport,-0.812884
Fatty acid and lipid metabolism and transport,0.356329905
Fatty acid and lipid metabolism and transport,-1.368435
Fatty acid and lipid metabolism and transport,-2.436643
Fatty acid and lipid metabolism and transport,-1.619316
Fatty acid and lipid metabolism and transport,-2.775693492
Fatty acid and lipid metabolism and transport,-1.222880583
Cell wall/LPS/membrane proteins/phospholipid,1.090836903
Cell wall/LPS/membrane proteins/phospholipid,2.352357889
Cell wall/LPS/membrane proteins/phospholipid,-0.622819229
Phosphate and phosphonate metabolism and transport,2.635075
Phosphate and phosphonate metabolism and transport,3.467765
Phosphate and phosphonate metabolism and transport,2.163898743
Phosphate and phosphonate metabolism and transport,2.314965225
Phosphate and phosphonate metabolism and transport,5.617632308
Phosphate and phosphonate metabolism and transport,1.606135
Phosphate and phosphonate metabolism and transport,2.227671
Phosphate and phosphonate metabolism and transport,2.756825
Phosphate and phosphonate metabolism and transport,4.615405028
Phosphate and phosphonate metabolism and transport,1.945518
Phosphate and phosphonate metabolism and transport,0.08025011
Phosphate and phosphonate metabolism and transport,-1.387874
Phosphate and phosphonate metabolism and transport,-2.507087
Phosphate and phosphonate metabolism and transport,1.000249916
Phosphate and phosphonate metabolism and transport,4.800460579
Phosphate and phosphonate metabolism and transport,-1.459939057
Phosphate and phosphonate metabolism and transport,-1.167761
Phosphate and phosphonate metabolism and transport,-0.115652
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.526710472
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",0.6036059
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",0.3517057
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",0.333995071
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",0.112677471
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.008262162
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.741405112
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.5035227
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.7414051
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.81890456
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.572765295
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.5727653
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.922755729
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.9227557
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.497032399
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",0.2775004
"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)",-0.08350942
Carbon metabolism and storage,-0.1887597
Carbon metabolism and storage,-0.6859245
Carbon metabolism and storage,-0.8066874
Carbon metabolism and storage,-0.6667255
Carbon metabolism and storage,-1.096709
Carbon metabolism and storage,-1.584583
Carbon metabolism and storage,-1.27431
Carbon metabolism and storage,-1.440590675
Cell wall/LPS/membrane proteins/phospholipid,1.229156983
Cell wall/LPS/membrane proteins/phospholipid,0.357538
Cell wall/LPS/membrane proteins/phospholipid,0.5052355
Cell wall/LPS/membrane proteins/phospholipid,-0.090581
Cell wall/LPS/membrane proteins/phospholipid,-0.4296601
Cell wall/LPS/membrane proteins/phospholipid,0.930920122
Cell wall/LPS/membrane proteins/phospholipid,0.508767383
Cell wall/LPS/membrane proteins/phospholipid,0.1201449
Cell wall/LPS/membrane proteins/phospholipid,-0.2131057
Cell wall/LPS/membrane proteins/phospholipid,-1.146566
Cell wall/LPS/membrane proteins/phospholipid,-0.3463804
Cell wall/LPS/membrane proteins/phospholipid,-0.326682
Cell wall/LPS/membrane proteins/phospholipid,-0.057760609
Cell wall/LPS/membrane proteins/phospholipid,-0.1962792
Cell wall/LPS/membrane proteins/phospholipid,-0.8045351
"Translation, protein folding and secretion",-1.870870986
"Translation, protein folding and secretion",-1.085391
"Stresses (oxidative, heat, cold, osmotic)",1.320748844
"Stresses (oxidative, heat, cold, osmotic)",5.240891
"Stresses (oxidative, heat, cold, osmotic)",1.792531293
"Stresses (oxidative, heat, cold, osmotic)",1.348995
"Stresses (oxidative, heat, cold, osmotic)",1.728667394
"Stresses (oxidative, heat, cold, osmotic)",1.965487691
"Stresses (oxidative, heat, cold, osmotic)",0.1986015
"Stresses (oxidative, heat, cold, osmotic)",-1.256290052
"Stresses (oxidative, heat, cold, osmotic)",-1.316882187
"Stresses (oxidative, heat, cold, osmotic)",-1.423222775
"Stresses (oxidative, heat, cold, osmotic)",0.452825075
"Stresses (oxidative, heat, cold, osmotic)",0.132789617
"Stresses (oxidative, heat, cold, osmotic)",-1.254718028
"Stresses (oxidative, heat, cold, osmotic)",0.248714502
"Stresses (oxidative, heat, cold, osmotic)",-1.724311541
"Stresses (oxidative, heat, cold, osmotic)",-1.0463
"Stresses (oxidative, heat, cold, osmotic)",0.309730816
Energy metabolism,1.102053
Energy metabolism,-0.628861138
Energy metabolism,-0.840113784
Energy metabolism,-1.342067592
Energy metabolism,-0.527906579
Energy metabolism,-1.470962432
Energy metabolism,-1.259357611
Energy metabolism,-1.462511046
Energy metabolism,-1.647193091
Energy metabolism,-1.231168887
Energy metabolism,-2.328581222
Energy metabolism,-1.650690913
Energy metabolism,-0.874923429
Energy metabolism,-0.02760485
Energy metabolism,-0.9301738
Energy metabolism,-0.4983127
Energy metabolism,-0.009683839
Energy metabolism,-0.477127
Energy metabolism,-0.9137063
Energy metabolism,-0.1537616
Energy metabolism,-0.7057334
Energy metabolism,2.503776
Energy metabolism,3.26287
Energy metabolism,2.998465
Energy metabolism,1.197244
Energy metabolism,1.032496314
Energy metabolism,5.270949
Energy metabolism,-0.959222587
Energy metabolism,-0.301384749
Energy metabolism,0.8107446
Energy metabolism,-1.119998
Energy metabolism,-0.561687517
Energy metabolism,-1.704030923
Energy metabolism,-1.911604334
Energy metabolism,-3.189762115
Energy metabolism,-1.124872493
Energy metabolism,-1.112159
Energy metabolism,-1.908184
Energy metabolism,-2.247969
Energy metabolism,-1.573857817
Energy metabolism,-1.444925
Energy metabolism,-2.449635248
Energy metabolism,-1.315168553
Energy metabolism,-0.773915113
Energy metabolism,-0.0306876
Energy metabolism,-1.630131224
Energy metabolism,-1.292837187
Energy metabolism,-1.369539678
Energy metabolism,-2.366820691
Energy metabolism,-1.185314269
Energy metabolism,-1.072254929
Energy metabolism,-1.106937056
Energy metabolism,-1.447772573
Energy metabolism,-1.547572
Energy metabolism,-1.622633762
Energy metabolism,-1.63876513
Energy metabolism,-1.165673266
